"id_var","lettername1","lettername2","dob","gender","postcode","medicare10","vax_date_1","vax_type_1","vax_date_2","vax_type_2","vax_date_3","vax_type_3","vax_date_4","vax_type_4"
"AIR_00001","Ethan","Thompson",1929-03-01,"Male","4552","772872472572472672672172",2024-06-07,"Influenza (quadrivalent)",2024-09-02,"RSV (mRESVIA)",NA,NA,NA,NA
"AIR_00002","Ruby","Garcia",1946-06-08,"Female","4551","242242842342542642542542",2022-12-26,"Influenza (quadrivalent)",NA,NA,NA,NA,NA,NA
"AIR_00003","Ethan","Thompson",1986-12-12,"Male","4560","274774474474274174774474",2024-05-29,"Pertussis (dTpa)",2024-11-10,"COVID-19 mRNA (Pfizer)",2025-01-17,"COVID-19 Novavax",NA,NA
"AIR_00004","Scarlett","Walker",1951-05-07,"Female","4552","795995195295695795795695",2024-03-09,"COVID-19 mRNA (Moderna)",2024-08-26,"Influenza (quadrivalent)",NA,NA,NA,NA
"AIR_00005","Liam","Gonzalez",1932-08-05,"Male","4552","603203003103003203003703",2023-03-20,"Influenza (trivalent)",2023-07-27,"RSV (mRESVIA)",NA,NA,NA,NA
"AIR_00006","Charlotte","Taylor",1949-05-19,"Female","4558","446046446346246746346946",2021-04-22,"RSV (Abrysvo)",2021-07-08,"RSV (mRESVIA)",2021-10-08,"Pertussis (dTpa)",NA,NA
"AIR_00007","Isla","Johnson",1940-08-04,"Female","4562","785485485385085385185285",2023-03-29,"RSV (mRESVIA)",2023-06-18,"Influenza (trivalent)",2023-10-27,"RSV (Abrysvo)",2024-01-20,"Influenza (quadrivalent)"
"AIR_00008","Grace","Lee",1978-09-21,"Female","4560","796196496696096296596496",2022-03-29,"Influenza (trivalent)",2022-09-10,"RSV (Abrysvo)",2023-02-03,"Pertussis (dTpa)",NA,NA
"AIR_00009","Lucas","Gonzalez",1942-01-18,"Male","4550","131431831431031931231331",2023-12-19,"Pertussis (dTpa)",2024-04-23,"Influenza (trivalent)",NA,NA,NA,NA
"AIR_00010","Henry","Garcia",1960-08-31,"Male","4561","184884584984284084784484",2024-08-30,"COVID-19 mRNA (Moderna)",2025-02-10,"Influenza (trivalent)",NA,NA,NA,NA
"AIR_00011","Lucy","Martin",1906-01-02,"Female","4558","714314214214414614514414",2024-12-13,"COVID-19 Novavax",NA,NA,NA,NA,NA,NA
"AIR_00012","James","Harris",1983-07-26,"Male","4557","266466566766566266566266",2022-01-21,"RSV (mRESVIA)",2022-06-05,"Influenza (quadrivalent)",2022-11-16,"RSV (Abrysvo)",2023-02-27,"Influenza (trivalent)"
"AIR_00013","William","Martin",1952-08-17,"Male","4555","441841341741741341241841",2022-06-27,"RSV (mRESVIA)",2022-09-17,"COVID-19 mRNA (Moderna)",NA,NA,NA,NA
"AIR_00014","Ryan","Johnson",1956-09-21,"Male","4561","907307807707507507907007",2023-05-10,"COVID-19 Novavax",2023-08-03,"RSV (mRESVIA)",NA,NA,NA,NA
"AIR_00015","Lucy","Lee",1926-05-11,"Female","4554","646546546046646146546646",2021-09-09,"COVID-19 mRNA (Moderna)",2021-12-12,"Pertussis (dTpa)",2022-02-26,"RSV (Abrysvo)",NA,NA
"AIR_00016","Benjamin","Jackson",1916-10-27,"Male","4560","365365065365465265665565",2022-02-06,"COVID-19 mRNA (Moderna)",NA,NA,NA,NA,NA,NA
"AIR_00017","Matthew","Anderson",1961-08-02,"Male","4550","768668168568868368168568",2023-05-01,"RSV (mRESVIA)",2023-08-03,"COVID-19 Novavax",NA,NA,NA,NA
"AIR_00018","Noah","King",1965-08-19,"Male","4552","987487587387487587787387",2022-02-09,"Influenza (trivalent)",2022-06-01,"COVID-19 Novavax",2022-08-21,"RSV (Abrysvo)",2022-12-14,"Pertussis (dTpa)"
"AIR_00019","Lucas","Jones",1905-02-09,"Male","4562","697997897197597897297297",2022-07-02,"COVID-19 Novavax",2022-09-06,"RSV (mRESVIA)",NA,NA,NA,NA
"AIR_00020","Evelyn","Garcia",1975-07-23,"Female","4550","921321121921821321921421",2024-01-14,"Influenza (quadrivalent)",2024-04-15,"RSV (mRESVIA)",2024-09-10,"COVID-19 mRNA (Pfizer)",2025-01-27,"COVID-19 Novavax"
"AIR_00021","Chloe","Garcia",1967-12-01,"Female","4555","365765965865665665165465",2023-10-13,"Influenza (quadrivalent)",2024-03-20,"COVID-19 mRNA (Moderna)",2024-06-19,"COVID-19 mRNA (Pfizer)",NA,NA
"AIR_00022","Lucy","Harris",1960-06-27,"Female","4560","973073173973773773473673",2022-03-01,"COVID-19 mRNA (Pfizer)",2022-05-01,"COVID-19 Novavax",2022-10-12,"Influenza (trivalent)",NA,NA
"AIR_00023","Henry","Wilson",1911-12-01,"Male","4557","982482482282282782382382",2023-06-19,"RSV (Abrysvo)",2023-09-15,"COVID-19 mRNA (Pfizer)",2023-12-28,"Influenza (trivalent)",2024-03-26,"Pertussis (dTpa)"
"AIR_00024","Grace","Robinson",1974-08-06,"Female","4560","607207407507107907707207",2022-08-12,"COVID-19 Novavax",2023-01-31,"RSV (Abrysvo)",NA,NA,NA,NA
"AIR_00025","Sophie","Clark",1917-05-11,"Female","4553","945245045445945645945745",2023-09-10,"COVID-19 mRNA (Pfizer)",2023-11-21,"Influenza (trivalent)",2024-05-09,"RSV (Abrysvo)",NA,NA
"AIR_00026","Matthew","Adams",1963-08-22,"Male","4561","544444544844044644844444",2025-02-08,"COVID-19 Novavax",2025-06-28,"COVID-19 mRNA (Pfizer)",2025-10-05,"Influenza (quadrivalent)",2026-02-11,"Pertussis (dTpa)"
"AIR_00027","Ruby","Anderson",1951-02-28,"Female","4558","483683283083383283283183",2024-12-20,"COVID-19 Novavax",2025-03-01,"Pertussis (dTpa)",NA,NA,NA,NA
"AIR_00028","Ethan","Adams",1958-06-16,"Male","4558","908708008908208208108608",2024-07-02,"RSV (mRESVIA)",2024-09-25,"Pertussis (dTpa)",NA,NA,NA,NA
"AIR_00029","Lily","Lopez",1929-10-31,"Female","4560","481881981281081181481281",2022-01-31,"Influenza (quadrivalent)",2022-07-26,"COVID-19 mRNA (Pfizer)",2022-12-28,"RSV (mRESVIA)",2023-03-30,"RSV (Abrysvo)"
"AIR_00030","Sophie","Robinson",1963-08-30,"Female","4557","208308108608808808008408",2021-01-23,"Influenza (quadrivalent)",2021-07-04,"COVID-19 mRNA (Moderna)",2021-12-31,"Influenza (trivalent)",2022-04-07,"RSV (mRESVIA)"
"AIR_00031","Hannah","Robinson",1907-01-31,"Female","4554","317217717117417117017317",2024-07-02,"Influenza (quadrivalent)",2024-12-09,"COVID-19 mRNA (Moderna)",NA,NA,NA,NA
"AIR_00032","Emily","Lewis",1960-01-13,"Female","4554","637537837437337537137537",2022-08-02,"RSV (mRESVIA)",NA,NA,NA,NA,NA,NA
"AIR_00033","Matthew","Jones",1973-03-22,"Male","4560","443443243343043443543043",2023-09-13,"Influenza (quadrivalent)",2024-02-20,"RSV (mRESVIA)",NA,NA,NA,NA
"AIR_00034","Charlotte","Harris",1973-02-28,"Female","4551","388588988388988388188588",2021-01-05,"Influenza (trivalent)",2021-06-09,"COVID-19 mRNA (Pfizer)",2021-09-03,"Pertussis (dTpa)",2022-01-30,"COVID-19 Novavax"
"AIR_00035","Ryan","Smith",1938-09-09,"Male","4555","347247347147247447547447",2022-02-13,"COVID-19 mRNA (Pfizer)",2022-05-29,"Influenza (trivalent)",2022-10-13,"RSV (Abrysvo)",2023-03-15,"COVID-19 Novavax"
"AIR_00036","Amelia","Walker",1936-04-21,"Female","4550","324324924224324624824824",2022-10-02,"Influenza (quadrivalent)",2023-03-31,"COVID-19 mRNA (Moderna)",2023-07-11,"Pertussis (dTpa)",2023-11-09,"RSV (Abrysvo)"
"AIR_00037","Oliver","Wilson",1968-02-16,"Male","4559","586386486886686186486386",2024-09-08,"Pertussis (dTpa)",2024-11-27,"Influenza (quadrivalent)",2025-02-01,"RSV (mRESVIA)",NA,NA
"AIR_00038","Jacob","Lewis",1982-01-01,"Male","4554","733133233833733733333233",2024-04-19,"RSV (Abrysvo)",2024-09-07,"RSV (mRESVIA)",2025-02-04,"COVID-19 mRNA (Pfizer)",2025-04-09,"Pertussis (dTpa)"
"AIR_00039","Amelia","Hernandez",1973-12-24,"Female","4559","154154354354654254054954",2024-12-11,"Pertussis (dTpa)",2025-05-20,"COVID-19 Novavax",2025-11-16,"COVID-19 mRNA (Moderna)",2026-01-21,"Influenza (trivalent)"
"AIR_00040","Sophie","Hall",1961-02-28,"Female","4562","626426726926326726126726",2023-07-27,"RSV (Abrysvo)",2024-01-21,"Influenza (trivalent)",2024-06-24,"Influenza (quadrivalent)",NA,NA
"AIR_00041","Charlotte","Walker",1934-08-14,"Female","4554","669969769469069869969969",2021-05-05,"Influenza (quadrivalent)",2021-09-29,"Pertussis (dTpa)",NA,NA,NA,NA
"AIR_00042","Michael","Harris",1929-02-11,"Male","4560","769469369469669369269969",2022-04-26,"COVID-19 mRNA (Moderna)",2022-09-27,"Influenza (trivalent)",2023-02-24,"COVID-19 Novavax",NA,NA
"AIR_00043","Sophie","Smith",1976-03-16,"Female","4559","215315915315315915415815",2024-07-28,"RSV (mRESVIA)",2024-12-05,"Influenza (quadrivalent)",NA,NA,NA,NA
"AIR_00044","Nathan","Garcia",1972-07-20,"Male","4550","775775375575475675175675",2022-01-16,"COVID-19 mRNA (Pfizer)",2022-06-24,"RSV (mRESVIA)",2022-11-14,"RSV (Abrysvo)",NA,NA
"AIR_00045","Andrew","Hill",1927-01-03,"Male","4557","671271671871971571071371",2022-05-12,"COVID-19 mRNA (Pfizer)",NA,NA,NA,NA,NA,NA
"AIR_00046","Jackson","King",1921-01-11,"Male","4562","792892992592792392192392",2022-12-24,"RSV (mRESVIA)",2023-03-29,"COVID-19 mRNA (Moderna)",NA,NA,NA,NA
"AIR_00047","Zoe","Wilson",1972-08-24,"Female","4554","789989989289689289089989",2023-07-10,"Influenza (quadrivalent)",2023-12-24,"RSV (mRESVIA)",NA,NA,NA,NA
"AIR_00048","Lucy","Brown",1923-10-06,"Female","4561","885285685985585185285185",2021-04-10,"RSV (Abrysvo)",2021-09-01,"Influenza (quadrivalent)",2022-01-01,"Pertussis (dTpa)",NA,NA
"AIR_00049","Ruby","Clark",1945-03-15,"Female","4560","381181881681181481581681",2022-03-04,"Pertussis (dTpa)",2022-06-18,"COVID-19 mRNA (Moderna)",NA,NA,NA,NA
"AIR_00050","Benjamin","Walker",1947-05-12,"Male","4553","949049949149649949249449",2022-05-11,"COVID-19 mRNA (Moderna)",2022-08-25,"RSV (mRESVIA)",NA,NA,NA,NA
"AIR_00051","Amelia","Green",1957-10-25,"Female","4550","326226226926526826626326",2022-03-05,"RSV (Abrysvo)",2022-08-05,"Influenza (trivalent)",NA,NA,NA,NA
"AIR_00052","James","Rodriguez",1918-10-16,"Male","4561","495895895995495195695595",2024-02-09,"Pertussis (dTpa)",2024-05-03,"RSV (Abrysvo)",2024-09-02,"COVID-19 mRNA (Moderna)",NA,NA
"AIR_00053","Scarlett","Garcia",1958-06-09,"Female","4562","281781781081781581981981",2021-12-25,"COVID-19 mRNA (Moderna)",NA,NA,NA,NA,NA,NA
"AIR_00054","Charlotte","Smith",1928-02-23,"Female","4562","457557757057857857457357",2024-07-21,"COVID-19 mRNA (Pfizer)",NA,NA,NA,NA,NA,NA
"AIR_00055","Jacob","Nelson",1946-11-22,"Male","4552","153953353153553553853953",2022-03-22,"COVID-19 Novavax",NA,NA,NA,NA,NA,NA
"AIR_00056","Oliver","Smith",1916-03-08,"Male","4550","729529829529329429729529",2023-02-26,"RSV (mRESVIA)",2023-05-02,"COVID-19 mRNA (Moderna)",2023-10-17,"Influenza (quadrivalent)",NA,NA
"AIR_00057","Ruby","Lopez",1947-12-04,"Female","4553","201301101701801401401901",2021-11-04,"RSV (mRESVIA)",2022-01-06,"Influenza (quadrivalent)",2022-05-02,"COVID-19 mRNA (Moderna)",2022-07-17,"COVID-19 mRNA (Pfizer)"
"AIR_00058","Oliver","Harris",1984-06-30,"Male","4560","512512512212212512312012",2022-10-10,"Influenza (quadrivalent)",NA,NA,NA,NA,NA,NA
"AIR_00059","Nathan","Wilson",1923-03-31,"Male","4554","854554454554654654554054",2021-09-02,"Influenza (quadrivalent)",2021-11-28,"Pertussis (dTpa)",NA,NA,NA,NA
"AIR_00060","Samuel","Green",1950-05-15,"Male","4558","606906706006006406706306",2024-01-05,"Influenza (quadrivalent)",2024-05-08,"Influenza (trivalent)",NA,NA,NA,NA
"AIR_00061","Chloe","King",1924-04-28,"Female","4556","239339139339139939439839",2021-05-17,"COVID-19 mRNA (Pfizer)",2021-07-28,"COVID-19 mRNA (Moderna)",NA,NA,NA,NA
"AIR_00062","Mason","Johnson",1937-04-08,"Male","4558","911111511811411811311711",2024-06-02,"COVID-19 mRNA (Pfizer)",2024-11-05,"RSV (Abrysvo)",NA,NA,NA,NA
"AIR_00063","Nathan","Anderson",1940-10-10,"Male","4560","929029629729529929729329",2021-03-11,"RSV (Abrysvo)",2021-07-04,"Pertussis (dTpa)",2021-10-21,"COVID-19 mRNA (Pfizer)",2022-01-22,"Influenza (quadrivalent)"
"AIR_00064","Zoe","Lopez",1922-11-04,"Female","4558","331531731831131431131631",2022-08-18,"COVID-19 Novavax",2022-12-01,"RSV (Abrysvo)",2023-05-21,"COVID-19 mRNA (Pfizer)",NA,NA
"AIR_00065","Noah","White",1961-10-08,"Male","4556","339539939139139339239139",2022-04-12,"COVID-19 Novavax",2022-07-24,"COVID-19 mRNA (Moderna)",2022-12-09,"COVID-19 mRNA (Pfizer)",2023-03-31,"Influenza (trivalent)"
"AIR_00066","Lucas","Hall",1964-12-25,"Male","4552","581281181081681981781281",2022-05-07,"RSV (mRESVIA)",2022-10-27,"Influenza (quadrivalent)",2022-12-27,"Pertussis (dTpa)",2023-04-07,"RSV (Abrysvo)"
"AIR_00067","Grace","Lopez",1965-12-14,"Female","4553","132932232332632732032332",2023-03-19,"COVID-19 Novavax",2023-07-25,"RSV (Abrysvo)",NA,NA,NA,NA
"AIR_00068","Olivia","Young",1913-05-14,"Female","4557","478478578078178978678478",2025-01-04,"RSV (Abrysvo)",2025-05-14,"RSV (mRESVIA)",2025-09-15,"COVID-19 mRNA (Moderna)",NA,NA
"AIR_00069","Michael","Harris",1920-12-19,"Male","4561","849349049449949249549949",2023-08-03,"COVID-19 Novavax",NA,NA,NA,NA,NA,NA
"AIR_00070","Mason","Lewis",1982-08-15,"Male","4553","463063563963363463463763",2021-01-08,"Influenza (quadrivalent)",2021-06-23,"Influenza (trivalent)",2021-12-09,"COVID-19 mRNA (Moderna)",NA,NA
"AIR_00071","Jackson","Rodriguez",1944-06-24,"Male","4560","505605605505205505105405",2021-07-25,"RSV (mRESVIA)",2021-11-25,"Influenza (quadrivalent)",2022-02-05,"COVID-19 mRNA (Pfizer)",NA,NA
"AIR_00072","Scarlett","Martin",1905-04-17,"Female","4556","951151951151051851451151",2023-01-05,"Influenza (trivalent)",2023-05-25,"COVID-19 mRNA (Pfizer)",NA,NA,NA,NA
"AIR_00073","Lucas","Rodriguez",1925-12-02,"Male","4552","594994594594594394094794",2022-10-07,"COVID-19 mRNA (Pfizer)",2023-01-19,"RSV (Abrysvo)",2023-03-28,"Influenza (trivalent)",NA,NA
"AIR_00074","Charlotte","Taylor",1960-03-30,"Female","4556","308908608308208208108408",2024-12-13,"RSV (Abrysvo)",2025-06-02,"Influenza (trivalent)",2025-09-03,"Pertussis (dTpa)",NA,NA
"AIR_00075","Ethan","Allen",1944-04-24,"Male","4558","807907707307607407007907",2024-01-28,"COVID-19 Novavax",2024-05-19,"Influenza (quadrivalent)",2024-10-13,"Pertussis (dTpa)",2025-02-23,"Influenza (trivalent)"
"AIR_00076","Michael","Brown",1977-04-21,"Male","4561","933833033033533233833733",2021-12-23,"COVID-19 mRNA (Pfizer)",2022-03-20,"Pertussis (dTpa)",NA,NA,NA,NA
"AIR_00077","Thomas","Hernandez",1955-03-10,"Male","4554","171271271171671171471071",2022-01-22,"COVID-19 mRNA (Moderna)",2022-04-04,"RSV (Abrysvo)",2022-07-22,"RSV (mRESVIA)",2022-12-01,"COVID-19 mRNA (Pfizer)"
"AIR_00078","Ella","Young",1970-03-15,"Female","4556","951751351951451451951651",2024-07-06,"COVID-19 mRNA (Pfizer)",2024-09-15,"Influenza (trivalent)",2025-02-13,"Pertussis (dTpa)",2025-05-19,"RSV (mRESVIA)"
"AIR_00079","Michael","Hill",1986-01-16,"Male","4551","516116516316716016116316",2024-07-01,"Influenza (trivalent)",NA,NA,NA,NA,NA,NA
"AIR_00080","Sophie","Robinson",1938-08-11,"Female","4562","353753453153553953753753",2024-05-24,"RSV (mRESVIA)",NA,NA,NA,NA,NA,NA
"AIR_00081","Thomas","Brown",1986-09-03,"Male","4557","621421921821421721021621",2021-05-07,"RSV (mRESVIA)",NA,NA,NA,NA,NA,NA
"AIR_00082","Michael","King",1961-06-01,"Male","4552","725425625025725725625925",2024-10-14,"COVID-19 mRNA (Moderna)",2025-03-30,"Pertussis (dTpa)",2025-07-12,"COVID-19 Novavax",NA,NA
